Date,Open,High,Low,Close
9/10/2022,21285.00,21712.00,21192.00,21487.00
9/9/2022,19371.00,21411.00,19258.00,21285.00
9/8/2022,19393.00,19450.00,19083.00,19371.00
9/7/2022,18962.00,19447.00,18582.00,19393.00
9/6/2022,19743.00,20147.00,18734.00,18962.00
9/5/2022,19898.00,20048.00,19646.00,19743.00
9/4/2022,19739.00,19936.00,19605.00,19898.00
9/3/2022,19965.00,20044.00,19663.00,19739.00
9/2/2022,20076.00,20411.00,19778.00,19965.00
9/1/2022,20207.00,20291.00,19591.00,20076.00
8/31/2022,19975.00,20476.00,19763.00,20207.00
8/30/2022,20188.00,20567.00,19583.00,19975.00
8/29/2022,19999.00,20379.00,19544.00,20188.00
8/28/2022,20000.00,20152.00,19836.00,19999.00
8/27/2022,20657.00,20683.00,19873.00,20000.00
8/26/2022,21647.00,21795.00,20565.00,20667.00
8/25/2022,21693.00,21806.00,21306.00,21647.00
8/24/2022,21489.00,21879.00,21173.00,21697.00
8/23/2022,21126.00,21597.00,20925.00,21489.00
8/22/2022,21520.00,21688.00,20958.00,21107.00
8/21/2022,20856.00,21723.00,20813.00,21520.00
8/20/2022,21278.00,21361.00,20820.00,20856.00
8/19/2022,23413.00,23426.00,21189.00,21278.00
8/18/2022,23408.00,23577.00,23236.00,23417.00
8/17/2022,23973.00,24447.00,23206.00,23408.00
8/16/2022,24070.00,24253.00,23669.00,23973.00
8/15/2022,24320.00,25199.00,23912.00,24070.00
8/14/2022,24505.00,24992.00,24178.00,24327.00
8/13/2022,24235.00,24886.00,24090.00,24505.00
8/12/2022,24214.00,24311.00,23634.00,24244.00
8/11/2022,23909.00,24859.00,23792.00,24214.00
8/10/2022,23147.00,24117.00,22720.00,23880.00
8/9/2022,24073.00,24073.00,22898.00,23147.00
8/8/2022,23271.00,24234.00,23081.00,24073.00
8/7/2022,23167.00,23285.00,22863.00,23271.00
8/6/2022,22969.00,23347.00,22969.00,23167.00
8/5/2022,22503.00,23455.00,22467.00,22969.00
8/4/2022,23324.00,23367.00,22443.00,22503.00
8/3/2022,23015.00,23607.00,22698.00,23324.00
8/2/2022,23027.00,23450.00,22679.00,23015.00
8/1/2022,23804.00,23824.00,22878.00,23027.00
7/31/2022,23979.00,24164.00,23439.00,23804.00
7/30/2022,23952.00,24613.00,23704.00,23979.00
7/29/2022,24012.00,24310.00,23486.00,23952.00
7/28/2022,22795.00,24167.00,22586.00,24012.00
7/27/2022,20964.00,23026.00,20834.00,22795.00
7/26/2022,22166.00,22176.00,20753.00,20964.00
7/25/2022,22749.00,23007.00,21582.00,22166.00
7/24/2022,22319.00,22876.00,22242.00,22749.00
7/23/2022,22603.00,22999.00,21978.00,22319.00
7/22/2022,23134.00,23689.00,22532.00,22603.00
7/21/2022,23305.00,23780.00,22376.00,23134.00
7/20/2022,23308.00,24258.00,22925.00,23305.00
7/19/2022,21514.00,23660.00,21456.00,23308.00
7/18/2022,20938.00,22725.00,20756.00,21514.00
7/17/2022,21165.00,21645.00,20853.00,20938.00
7/16/2022,20925.00,21561.00,20481.00,21165.00
7/15/2022,20660.00,21181.00,20384.00,20925.00
7/14/2022,19663.00,20835.00,19642.00,20660.00
